carte_id,titlu,autor,gen
1,1984,George Orwell,Distopie
2,Crimă și pedeapsă,Fyodor Dostoevsky,Ficțiune
3,Frații Karamazov,Fyodor Dostoevsky,Ficțiune
4,Idiotul,Fyodor Dostoevsky,Ficțiune
5,Notes from Underground,Fyodor Dostoevsky,Ficțiune
6,Harry Potter and the Sorcerer’s Stone,J.K. Rowling,Ficțiune
7,Harry Potter and the Chamber of Secrets,J.K. Rowling,Ficțiune
8,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Ficțiune
9,Harry Potter and the Order of the Phoenix,J.K. Rowling,Ficțiune
10,Harry Potter and the Half-Blood Prince,J.K. Rowling,Ficțiune
11,Harry Potter and the Deathly Hallows,J.K. Rowling,Ficțiune
12,The Hunger Games,Suzanne Collins, Distopie
13,Catching Fire,Suzanne Collins, Distopie 
14,Mockingjay,Suzanne Collins,Distopie
15,And Then There Were None,Agatha Christie,Mister
16,The Murder of Roger Ackroyd,Agatha Christie,Mister
17,Murder on the Orient Express,Agatha Christie,Crimă
18,The Phantom of the Opera,Gaston Leroux,Ficțiune
19,Mizerabilii,Victor Hugo,Ficțiune
20,Mândrie și prejudecată,Jane Austen,Ficțiune
21,Portretul lui Dorian Gray,Oscar Wilde,Ficțiune
22,"The Hobbit, or There and Back Again",J. R. R. Tolkien,Fantasy
23,Frăția Inelului,J. R. R. Tolkien,Fantasy
24,Cele două turnuri,J. R. R. Tolkien,Fantasy
25,Întoarcerea regelui,J. R. R. Tolkien,Fantasy
26,Atomic habits,James Clear,Dezvoltare personală
27,Puterea prezentului,Eckhart Tolle,Dezvoltare personală
28,Sapiens: A Brief History of Humankind,Yuval Noah Harari,Non-ficțiune
29,Luceafărul,Mihai Eminescu,Poezie
30,L'Étranger,Albert Camus,Mister
