utilizator_id,carte_id,rating
2,1,5
15,1,5
6,1,4
7,1,5
22,2,5
28,2,4
10,2,5
12,2,5
13,2,3
15,3,4
16,3,5
18,3,5
19,3,3
21,4,4
22,4,3
23,4,5
24,4,4
25,4,5
26,5,4
27,5,5
28,5,3
2,5,4
7,6,5
10,6,5
12,6,5
13,6,4
15,7,5
16,7,4
18,7,4
19,7,5
21,8,5
22,8,5
23,8,4
24,8,5
25,14,4
26,8,5
27,9,4
28,9,5
2,9,5
6,9,5
7,9,4
10,10,5
12,10,5
13,10,4
16,11,5
18,11,4
19,11,5
21,11,4
22,12,5
23,12,4
24,12,5
25,12,4
26,12,5
27,12,5
28,13,5
2,13,5
6,13,4
7,13,5
10,13,5
12,14,4
13,14,5
15,14,4
16,14,5
18,15,4
19,15,5
21,15,5
22,15,4
2,17,4
6,17,5
7,17,4
10,17,5
12,18,4
13,18,5
15,18,5
16,18,4
18,19,5
19,19,4
21,19,4
22,19,5
23,19,5
24,20,5
25,20,4
26,20,5
27,20,4
28,20,5
2,21,5
6,21,4
7,21,5
10,21,4
12,21,4
13,22,5
15,22,5
16,22,4
18,22,5
19,23,5
21,23,5
22,23,5
23,23,4
24,23,5
25,24,5
26,24,4
27,24,5
28,24,4
2,24,4
18,25,5
25,25,5
2,25,5
6,25,5
7,25,4
13,25,4
2,26,5
10,26,5
12,26,4
13,26,4
15,27,5
16,27,4
18,27,4
19,27,4
21,28,5
22,28,5
23,28,5
24,28,4
25,28,5
26,28,4
27,29,5
28,29,5
15,29,5
16,29,4
18,30,4
19,30,5
21,30,4
22,30,4
23,30,4
6,5,5
6,22,5
24,32,3
22,32,1
21,32,4
2,32,2
10,32,5
2,33,2
13,33,2
10,33,5
6,33,2
12,33,2
27,33,4
16,34,3
26,34,3
2,34,3
23,34,2
6,34,1
12,35,4
16,35,5
25,35,5
13,35,3
18,35,2
23,36,2
24,36,5
26,36,3
10,36,3
21,36,4
2,37,4
22,37,3
12,37,4
23,37,2
16,37,5
2,38,3
24,38,4
28,38,2
25,38,1
10,38,5
26,39,5
12,39,3
24,39,4
22,39,2
18,39,1
2,40,5
24,40,2
6,40,4
13,40,3
19,40,1
6,41,3
10,41,2
15,41,4
28,41,3
22,41,1
12,42,5
23,42,3
25,42,4
21,42,2
26,42,3
31,32,4
6,38,5
